condition,scenario,run_count,unitAttributionCount_mean,unitAttributionCount_stddev,unitAttributionCount_ci_lower,unitAttributionCount_ci_upper,degradedConflictCount_mean,degradedConflictCount_stddev,degradedConflictCount_ci_lower,degradedConflictCount_ci_upper,contradictionCount_mean,contradictionCount_stddev,contradictionCount_ci_lower,contradictionCount_ci_upper,factSurvivalRate_mean,factSurvivalRate_stddev,factSurvivalRate_ci_lower,factSurvivalRate_ci_upper,erosionRate_mean,erosionRate_stddev,erosionRate_ci_lower,erosionRate_ci_upper,driftAbsorptionRate_mean,driftAbsorptionRate_stddev,driftAbsorptionRate_ci_lower,driftAbsorptionRate_ci_upper,majorContradictionCount_mean,majorContradictionCount_stddev,majorContradictionCount_ci_lower,majorContradictionCount_ci_upper,meanTurnsToFirstDrift_mean,meanTurnsToFirstDrift_stddev,meanTurnsToFirstDrift_ci_lower,meanTurnsToFirstDrift_ci_upper
FLAT_AUTHORITY,adversarial-contradictory,10,4.7,0.45825756949558405,4.400605054596219,4.999394945403782,0.0,0.0,0.0,0.0,0.6,0.48989794855663565,0.2799333402763313,0.9200666597236686,88.0,9.797958971132712,81.59866680552663,94.40133319447337,0.0,0.0,0.0,0.0,94.0,4.898979485566356,90.79933340276331,97.20066659723669,0.2,0.4,-0.06133333333333335,0.4613333333333334,8.666666666666666,1.3743685418725535,7.461979524247062,9.87135380908627
FLAT_AUTHORITY,adversarial-displacement,10,5.0,0.0,5.0,5.0,0.6,1.8000000000000003,0.6,0.6,1.0,1.7888543819998317,-0.16871819623989004,2.1687181962398903,88.0,16.0,77.54666666666667,98.45333333333333,10.0,30.0,-9.599999999999998,29.599999999999998,92.22222222222221,13.19371343004213,83.60232944792803,100.8421149965164,0.5,0.806225774829855,-0.026734172888838614,1.0267341728888386,12.5,2.598076211353316,9.56,15.44
FLAT_AUTHORITY,adversarial-poisoned-player,10,5.0,0.0,5.0,5.0,0.6,1.8000000000000003,0.6,0.6,0.3,0.45825756949558394,6.050545962184573E-4,0.5993949454037815,94.0,9.16515138991168,88.01210109192436,99.98789890807564,0.0,0.0,0.0,0.0,96.66666666666666,5.091750772173157,93.34005616218019,99.99327717115312,0.1,0.30000000000000004,-0.09600000000000003,0.29600000000000004,6.333333333333333,2.8674417556808756,2.359261813538496,10.307404853128169
FLAT_AUTHORITY,balanced-campaign,10,4.9,0.3,4.704000000000001,5.096,0.8,1.661324772583615,0.8,0.8,0.0,0.0,0.0,0.0,98.0,6.0,94.08,101.92,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
FLAT_AUTHORITY,compliance-fraud-review,10,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
FLAT_AUTHORITY,compliance-policy-adaptive,10,3.0,0.7745966692414834,2.493930176095564,3.506069823904436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,19.364916731037084,62.3482544023891,87.6517455976109,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
FLAT_AUTHORITY,cursed-blade,10,4.0,0.0,4.0,4.0,0.6,1.2,0.6,0.6,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
FLAT_AUTHORITY,ops-incident-adaptive,10,3.9,0.3,3.7039999999999997,4.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,7.5,92.6,102.4,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
FLAT_AUTHORITY,ops-incident-response,10,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.2,0.4,-0.06133333333333335,0.4613333333333334,96.0,8.0,90.77333333333334,101.22666666666666,0.0,0.0,0.0,0.0,97.5,5.0,94.23333333333333,100.76666666666667,0.2,0.4,-0.06133333333333335,0.4613333333333334,9.0,0.0,9.0,9.0
FLAT_AUTHORITY,trust-evaluation-basic,10,3.5,0.5,3.1733333333333333,3.8266666666666667,0.4,1.2000000000000002,0.4,0.4,0.0,0.0,0.0,0.0,87.5,12.5,79.33333333333333,95.66666666666667,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN
FULL_AWMU,adversarial-contradictory,10,4.6,0.4898979485566356,4.279933340276331,4.920066659723668,1.2,2.4413111231467406,1.2,1.2,1.3,2.4103941586387903,-0.2747908503106764,2.8747908503106765,86.0,15.620499351813308,75.79460709014865,96.20539290985135,15.0,32.01562118716424,-5.916872508947311,35.91687250894731,89.0,18.681541692269406,76.79472609438399,101.20527390561601,0.9,1.8138357147217055,-0.2850393336181808,2.0850393336181807,7.5,2.5248762345905194,4.642833571525803,10.357166428474198
